id,y_true,y_pred,absolute_procentage_error
9651,45000.0,100988.984375,124.41996527777779
22808,900000.0,1092790.875,21.421208333333333
7901,1790000.0,1188615.25,33.596913407821226
15548,1645000.0,1611093.375,2.061193009118541
13577,1147000.0,1357702.75,18.369899738448126
3806,2506000.0,2871496.5,14.584856344772545
1056,2160000.0,2141459.75,0.8583449074074075
15842,570000.0,645269.0625,13.205098684210526
17155,3000000.0,2791581.5,6.947283333333333
4226,1630000.0,1525249.0,6.426441717791411
8763,4297000.0,4215553.0,1.8954386781475447
24985,4440000.0,3131283.75,29.47559121621622
15322,2950000.0,3130382.0,6.11464406779661
7713,675150.0,672197.0625,0.4373750277716063
10090,929000.0,930765.625,0.19005651237890203
18495,799000.0,796865.0,0.2672090112640801
18789,2500000.0,2624304.5,4.97218
16249,275000.0,360970.25,31.26190909090909
15680,1950000.0,1901346.875,2.495032051282051
2714,2100000.0,2677779.75,27.51332142857143
20396,225000.0,196860.578125,12.506409722222223
24854,1800000.0,1877493.875,4.305215277777777
23346,4600000.0,4195859.5,8.78566304347826
21553,2029000.0,2286899.25,12.710657959586003
4985,715000.0,687950.75,3.7831118881118884
2507,799000.0,642293.1875,19.612867647058824
7249,2249000.0,2261071.0,0.5367274344152957
21921,1130000.0,883756.9375,21.79142146017699
3386,1435000.0,1511625.375,5.339747386759582
26170,519000.0,382897.375,26.224012524084777
24468,1299999.0,1423896.125,9.530555408119545
21565,3549000.0,4195323.5,18.211425753733444
7937,380000.0,329649.3125,13.250180921052632
27304,72000.0,98543.015625,36.865299479166666
1666,665000.0,681612.1875,2.4980733082706768
6700,1050000.0,1005871.9375,4.202672619047619
19329,606000.0,566630.875,6.496555280528053
20163,803500.0,885691.5625,10.229192594897324
7136,1487000.0,1202978.25,19.100319435104236
17896,1950000.0,2052662.75,5.26475641025641
17151,1840000.0,1856007.75,0.8699864130434782
3585,901000.0,970760.625,7.74257769145394
14470,636000.0,637859.125,0.2923152515723271
16435,1390000.0,1277335.375,8.105368705035971
12753,85000.0,75578.890625,11.083658088235294
18111,1105000.0,1123205.25,1.6475339366515838
2848,830000.0,860085.5,3.6247590361445785
1866,2199500.0,1881632.75,14.451795862696068
2645,1579000.0,1508704.75,4.451884103863205
18826,1400000.0,1566831.125,11.916508928571428
20081,515000.0,504027.59375,2.1305643203883498
17738,945000.0,1014171.125,7.319695767195768
1493,835900.0,771730.25,7.6767256848905365
4579,1650000.0,1908555.5,15.670030303030302
17681,2400000.0,2395077.75,0.20509375
13208,3600000.0,3333072.25,7.414659722222222
21738,919000.0,1031781.0,12.272143634385202
8058,1700000.0,1752558.625,3.0916838235294115
3686,700000.0,1254377.125,79.19673214285714
12035,780000.0,556102.1875,28.704847756410256
18715,520000.0,487968.96875,6.159813701923077
4229,1640000.0,1535471.0,6.373719512195122
15049,187000.0,179955.359375,3.7671875
25586,3729000.0,2654426.25,28.81667337087691
12613,1350000.0,1434929.875,6.291101851851852
24104,1190000.0,1284163.125,7.912867647058823
4226,1630000.0,1525249.0,6.426441717791411
4226,1630000.0,1525249.0,6.426441717791411
23332,3000000.0,3320812.5,10.69375
13062,650000.0,636966.6875,2.005125
20081,515000.0,504027.59375,2.1305643203883498
20081,515000.0,504027.59375,2.1305643203883498
19338,700000.0,634325.5,9.382071428571429
12983,120000.0,185585.96875,54.65497395833333
217,850000.0,794844.5625,6.488874999999999
11297,650000.0,834610.5625,28.401625000000003
6133,950000.0,756080.8125,20.412546052631576
1131,1109999.0,1125832.625,1.4264539877963853
17395,1399000.0,1165929.875,16.6597659042173
6812,1990000.0,1993480.125,0.17488065326633165
14163,1297000.0,1421750.75,9.618407864302236
22451,1450000.0,843824.0,41.805241379310345
25508,1490000.0,1298600.5,12.845604026845638
4771,1700000.0,1433384.125,15.683286764705882
19832,1150000.0,1149694.375,0.02657608695652174
3014,840000.0,760008.4375,9.522805059523808
208,750000.0,838526.25,11.8035
13696,3945000.0,4619598.5,17.100088719898608
1121,1125000.0,1075416.875,4.407388888888889
11841,3550000.0,3550711.25,0.020035211267605633
24885,2450100.0,2732777.25,11.53737602546835
6624,1890000.0,1559581.375,17.48246693121693
6244,640000.0,589355.25,7.9132421875
3142,1690000.0,1711265.125,1.258291420118343
10654,4600000.0,3910486.0,14.989434782608695
17271,880000.0,1009467.0625,14.712166193181819
7221,2348000.0,2443432.25,4.064405877342419
25139,2050000.0,2304079.5,12.394121951219512
21376,1050000.0,1782593.5,69.77080952380952
20987,2280000.0,2670099.0,17.109605263157896
24292,2150000.0,1812740.375,15.686494186046513
11677,700000.0,943168.125,34.73830357142857
20478,2600000.0,2052433.625,21.06024519230769
3023,1895000.0,1592649.875,15.955151715039579
2704,999000.0,972755.0,2.6271271271271273
8030,950000.0,779220.375,17.97680263157895
23994,1450989.0,1450069.0,0.06340502925935346
5732,1357000.0,1061949.625,21.742842667649224
11420,899000.0,1054502.75,17.29730255839822
26308,850000.0,459316.3125,45.96278676470588
3,1050000.0,1071565.5,2.053857142857143
10392,780000.0,688528.375,11.72713141025641
14004,387000.0,434532.78125,12.282372416020673
20033,880000.0,697925.9375,20.690234375
23222,1700000.0,1592045.625,6.350257352941177
6902,2200000.0,2237686.75,1.7130340909090909
22087,1730000.0,1887644.875,9.112420520231215
14099,2650000.0,2736486.0,3.263622641509434
19890,510000.0,465505.53125,8.724405637254902
16738,1900000.0,1907296.375,0.3840197368421053
5802,2658000.0,2171056.75,18.319911587659895
15279,5579000.0,5228623.5,6.280274242695824
1569,530000.0,570233.1875,7.591167452830189
23894,1200000.0,942678.125,21.443489583333335
13211,700000.0,838898.1875,19.842598214285715
10830,650000.0,667699.75,2.7230384615384615
15782,970000.0,873047.6875,9.995083762886598
23630,2400000.0,2531866.5,5.4944375
6913,847000.0,703075.1875,16.992303719008266
23933,2200000.0,2822934.0,28.315181818181816
20847,1819000.0,2017530.875,10.914286695986807
14458,1290000.0,1171385.375,9.194932170542636
10059,1875000.0,1651181.625,11.93698
2195,1329000.0,1525559.0,14.789992475545525
6210,670000.0,576007.5625,14.028722014925373
15818,970000.0,945893.0625,2.4852512886597937
17123,2440000.0,2129147.5,12.739856557377049
18347,475000.0,493909.34375,3.9809144736842104
14035,2610000.0,2887241.75,10.62228927203065
24470,1300000.0,1231224.375,5.290432692307692
1347,3690000.0,3715344.0,0.686829268292683
25306,1600001.0,1523540.875,4.7787548257782335
22642,1295000.0,1399544.5,8.072934362934364
6890,2030000.0,1998433.0,1.555024630541872
15382,2329000.0,2213315.25,4.967142550450837
21929,3990000.0,3723665.75,6.675043859649123
22091,799000.0,485740.75,39.206414267834795
27202,1200000.0,924770.375,22.935802083333336
25667,380000.0,363858.28125,4.24782072368421
10709,670000.0,609433.5,9.039776119402985
23937,3250090.0,3213783.25,1.1170998341584388
26754,2149000.0,2021666.125,5.925261749651001
953,650000.0,644827.375,0.7957884615384615
11417,549000.0,543460.0625,1.0090960837887066
27140,400000.0,416267.96875,4.0669921875
15199,145000.0,186793.78125,28.823297413793103
14938,1749000.0,1635072.875,6.513843624928531
7627,859000.0,749311.6875,12.769302968568102
23766,1480001.0,1414887.625,4.399549392196357
20910,1649000.0,1305860.625,20.80893723468769
3509,1290000.0,1101790.25,14.589903100775196
24682,5125000.0,4703358.5,8.227151219512194
7639,1890000.0,1794911.75,5.0311243386243385
15547,1455000.0,1371565.375,5.734338487972509
12524,2079990.0,1906618.125,8.335226371280632
16074,170000.0,182010.109375,7.064770220588236
17798,2730000.0,2737564.0,0.27706959706959705
20209,610000.0,455796.625,25.27924180327869
12952,1760000.0,1705784.0,3.0804545454545456
12116,1684000.0,2000750.125,18.8093898456057
18893,625000.0,527620.3125,15.580749999999998
25506,1220000.0,1092728.375,10.432100409836066
7581,1200000.0,1327256.375,10.604697916666666
147,1809000.0,1837310.25,1.5649668325041461
7591,3190000.0,2921986.0,8.401692789968653
10643,700000.0,649782.5625,7.173919642857143
21189,1929000.0,1866345.25,3.2480430274753758
15569,950000.0,909379.75,4.275815789473684
27219,250000.0,290674.46875,16.2697875
24308,850000.0,404231.40625,52.44336397058823
17664,999900.0,1119954.625,12.006663166316631
18422,1610000.0,1448576.125,10.026327639751553
15281,1300000.0,1532909.25,17.916096153846155
12086,150000.0,144764.671875,3.49021875
25013,1880000.0,1731547.625,7.896402925531914
10477,2450000.0,2292456.5,6.430346938775511
18897,260000.0,322934.625,24.205625
17970,355000.0,426929.46875,20.26182218309859
7698,940000.0,862242.1875,8.272107712765958
1901,999370.0,1179070.625,17.981390776189
3580,1720000.0,1425923.625,17.097463662790698
20984,389700.0,356329.90625,8.563021234282783
12281,670000.0,630565.5,5.885746268656717
4036,3499000.0,3355202.25,4.109681337525007
8879,1255000.0,1185758.625,5.517241035856574
5676,1000000.0,1021583.5625,2.15835625
19639,1699000.0,2062924.5,21.419923484402588
15569,950000.0,909379.75,4.275815789473684
15569,950000.0,909379.75,4.275815789473684
21739,1800000.0,2062769.0,14.598277777777776
15521,2050000.0,1948982.5,4.927682926829268
26308,850000.0,459316.3125,45.96278676470588
26308,850000.0,459316.3125,45.96278676470588
12895,1828000.0,1694336.0,7.312035010940919
24261,495000.0,450257.53125,9.038882575757576
2055,749000.0,643077.125,14.141905874499333
29,1015000.0,960611.8125,5.358442118226601
1866,2199500.0,1881632.75,14.451795862696068
1866,2199500.0,1881632.75,14.451795862696068
5763,950000.0,753567.0625,20.677151315789473
2496,479000.0,532937.375,11.260412317327766
5102,490000.0,372391.75,24.001683673469387
4393,1030000.0,947175.75,8.04118932038835
7456,1870000.0,1713172.375,8.386504010695187
15001,490000.0,481400.75,1.7549489795918367
12958,1299000.0,1413859.875,8.842176674364897
26664,2270000.0,2040044.125,10.13021475770925
18900,1499900.0,1442128.0,3.8517234482298823
15676,789000.0,745405.1875,5.525324778200254
20353,689200.0,630480.125,8.520005078351712
15578,690000.0,705631.75,2.2654710144927535
26056,3450000.0,3696471.25,7.14409420289855
9199,895000.0,1303482.875,45.64054469273743
19605,888550.0,869334.625,2.162554161273986
14602,2900000.0,1835487.25,36.70733620689655
23453,1550000.0,2032170.0,31.107741935483872
21713,1650000.0,1813994.0,9.939030303030304
14492,1180000.0,1276204.25,8.15290254237288
23353,1450000.0,1009308.125,30.392543103448276
4479,1650000.0,1894761.75,14.834045454545455
23025,3550000.0,3781746.25,6.52806338028169
14827,1200000.0,1148939.125,4.255072916666667
11866,2170000.0,1945916.375,10.326434331797236
6528,2500000.0,2274965.75,9.00137
8288,950000.0,1011169.5625,6.438901315789473
2838,1150000.0,797871.0,30.61991304347826
25647,3790999.0,3800372.75,0.24726332030158807
10092,1445000.0,963425.625,33.326946366782
13371,5118000.0,4464889.0,12.761059007424775
6888,1915000.0,2129426.0,11.197180156657964
19998,1100000.0,666278.0625,39.429267045454544
21594,529000.0,674976.5625,27.594813327032135
20287,930000.0,791702.6875,14.870678763440862
5908,1210000.0,1236866.25,2.220351239669421
1303,1200000.0,1206251.25,0.5209374999999999
2528,100000.0,115211.3671875,15.211367187499999
21998,1750000.0,1932903.0,10.4516
22635,999000.0,985438.6875,1.3574887387387387
24505,1882300.0,1451380.5,22.893242309939968
6377,550000.0,604555.9375,9.919261363636364
2929,1178950.0,1172999.75,0.5047075787777259
18805,175000.0,143148.796875,18.2006875
21594,529000.0,674976.5625,27.594813327032135
21594,529000.0,674976.5625,27.594813327032135
2270,610000.0,797938.75,30.809631147540983
17464,1950000.0,2202179.5,12.932282051282051
22966,895000.0,1035983.3125,15.752325418994415
3938,1949999.0,1977284.0,1.399231486785378
17960,689900.0,900300.0625,30.497182562690245
25688,798000.0,823732.25,3.2245927318295737
23580,1200000.0,1270089.625,5.840802083333333
13115,1700000.0,1149346.875,32.391360294117646
16190,1600000.0,1718187.25,7.386703125
16071,425000.0,416758.125,1.939264705882353
25172,1550000.0,1533652.125,1.0547016129032258
2194,900000.0,843473.25,6.28075
24147,2600000.0,2368771.0,8.893423076923076
9100,370000.0,391122.8125,5.708868243243243
17922,819000.0,677995.875,17.216620879120878
8178,1550000.0,1518275.75,2.046725806451613
18736,130008.0,162748.046875,25.183101712971514
16817,950000.0,1126077.5,18.534473684210525
24550,3180000.0,3758615.75,18.195463836477987
20217,135000.0,197616.765625,46.38278935185185
11836,989990.0,935741.6875,5.479682875584602
8919,4520000.0,4616260.0,2.129646017699115
24499,2522000.0,2439513.75,3.2706681205392543
20945,3199999.0,3215549.25,0.4859454643579576
6824,3390000.0,3345023.5,1.3267404129793512
2111,1284000.0,1290682.5,0.5204439252336448
2351,1240000.0,1280628.625,3.276502016129032
3256,1400000.0,1371740.75,2.0185178571428573
22762,995000.0,1112976.375,11.856922110552764
14183,1300000.0,1327309.5,2.1007307692307693
26794,575000.0,564248.5,1.8698260869565215
1303,1200000.0,1206251.25,0.5209374999999999
1303,1200000.0,1206251.25,0.5209374999999999
2254,1785000.0,1933188.625,8.3018837535014
17875,985000.0,939532.3125,4.616008883248731
10309,2180000.0,2311935.0,6.052064220183486
462,2650000.0,2841422.25,7.223481132075471
4684,998000.0,700898.125,29.769726953907817
15668,210000.0,209761.203125,0.11371279761904762
7088,2900000.0,3146712.5,8.507327586206896
10477,2450000.0,2292456.5,6.430346938775511
20650,2565000.0,2416891.75,5.774200779727096
4097,4297000.0,3599692.25,16.227781010006982
7918,2180000.0,2037156.875,6.552436926605505
7800,730000.0,432105.75,40.80743150684932
